CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,number of parameter,"number of parameter without *args, **kargs",lineno,PAR,class
44,6,21,11,20,19,2,0,21,11,20,2,2,2,1,1,0.9,5,4,44,5,1
45,4,37,9,36,4,6,1,19,7,18,4,4,4,3,3,0.11,3,3,273,3,0
29,1,25,7,24,3,13,1,19,7,18,8,8,9,1,1,0.12,3,3,354,3,0
10,0,4,2,3,6,1,0,3,2,2,1,1,1,1,0,1.5,3,3,577,3,0
62,13,41,18,40,8,4,1,35,18,34,3,3,3,1,1,0.2,4,4,501,4,0
59,16,2,1,1,41,1,0,2,1,1,1,1,1,1,0,20.5,3,2,1626,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,2,5453,4,0
21,4,7,1,6,10,2,0,7,1,6,2,2,3,1,1,1.43,3,2,2859,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,2,451,4,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,2,457,4,0
3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,0,0,3,1,888,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,1,203,3,0
22,0,22,7,21,4,4,1,16,6,15,3,3,3,1,2,0.18,3,2,2494,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,2,991,4,0
15,0,15,2,14,0,5,1,11,2,10,5,5,5,3,3,0,4,2,1192,4,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,2,360,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,100,3,0
3,0,2,1,1,1,1,0,2,1,1,1,1,1,1,0,0.5,3,1,585,3,0
7,0,5,4,4,2,1,0,5,4,4,1,1,1,1,0,0.4,4,4,431,4,0
6,1,4,2,3,1,1,0,3,2,2,1,1,1,1,0,0.25,4,4,267,3,0
9,0,6,2,5,3,2,0,5,2,4,2,2,2,1,1,0.5,3,3,202,3,0
181,29,119,45,102,33,239760,5,84,29,83,28,28,30,8,4,0.28,17,17,475,4,1
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,1,47,3,0
3,0,3,2,2,0,2,0,3,2,2,2,2,2,1,1,0,3,1,583,3,0
13,2,8,3,7,3,2,0,6,3,5,2,2,2,1,1,0.38,4,4,331,4,0
57,8,20,7,19,29,16,1,18,7,17,6,6,10,1,2,1.45,5,3,1475,5,1
5,0,5,3,4,0,1,0,5,3,4,1,1,1,1,0,0,3,1,731,3,0
16,2,13,2,11,1,2,0,5,2,3,2,2,2,1,1,0.08,5,5,305,5,1
9,0,9,1,8,0,1,0,2,1,1,1,1,1,1,0,0,4,4,942,4,0
12,0,8,2,7,4,1,0,4,2,3,1,1,1,1,0,0.5,3,2,660,3,0
77,6,59,18,55,12,16,1,38,16,34,5,5,10,1,1,0.2,4,3,1770,3,0
3,0,3,2,2,0,1,0,3,2,2,1,1,1,1,0,0,3,2,285,3,0
5,0,5,1,4,0,1,0,5,1,4,1,1,2,1,0,0,3,3,370,3,0
65,4,56,3,55,5,6,1,16,3,15,6,6,7,6,3,0.09,3,3,22,3,0
21,1,13,5,12,7,3,0,11,5,10,3,3,3,3,3,0.54,3,3,13,3,0
20,2,9,3,8,9,4,1,8,3,7,3,3,4,1,1,1,4,4,263,4,0
6,0,4,1,3,2,2,0,4,1,3,2,2,2,1,1,0.5,3,3,298,3,0
8,0,7,2,6,1,3,0,6,2,5,3,3,5,3,1,0.14,3,3,405,3,0
8,0,5,3,4,3,2,0,5,3,4,2,2,2,1,1,0.6,3,3,21,3,0
5,0,4,1,3,1,1,0,4,1,3,1,1,1,1,0,0.25,3,3,85,3,0
